charge_id,multiple_rows,processor_name,scheduled_at,total_shipping,discount_code,shipping_lines,line_item_subscription_id
823979408,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",276334760
829530465,True,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify"", ""tax_lines"": []}]",370523874
829530465,True,,,,,,370523876
829553802,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",283798080
829554057,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",283756762
829770883,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",370636410
829779798,True,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",370642153
829779798,True,,,,,,370642154
829792077,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",370651544
829806740,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",370663895
829818553,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",370677518
829824820,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",370681510
829833293,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify"", ""tax_lines"": []}]",370686285
829839365,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify"", ""tax_lines"": []}]",370691905
829844168,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",370699392
829848971,True,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify"", ""status"": ""active"", ""tax_lines"": [], ""retrieved_at"": ""2023-08-19T15:18:13.291167""}]",370702609
829848971,True,,,,,,370702615
829874800,False,shopify_payments,2023-08-22 00:00:00,0.0,[],"[{""code"": ""Free Shipping"", ""price"": 0, ""title"": ""Free Shipping"", ""source"": ""shopify""}]",370724762
